u0_m_s,eta_km2_s,a,lambda_R_deg,lambda_rev_deg,r1,r_eig
5.0,100.0,-5.852215e-03,8.1885,20.5000,3.999376,1.000000
5.0,200.0,8.996528e-02,10.6186,24.5000,0.787310,0.999997
5.0,300.0,1.506938e-01,12.6068,27.5000,0.930863,0.999656
5.0,400.0,1.854234e-01,14.3569,29.5000,0.974981,0.996319
5.0,500.0,2.034216e-01,15.9912,31.5000,0.981376,0.984709
5.0,600.0,2.108682e-01,17.4273,33.0000,0.963819,0.960868
5.0,700.0,2.116333e-01,19.0238,34.0000,0.928780,0.924245
5.0,800.0,2.081554e-01,20.1362,35.5000,0.881223,0.876841
5.0,1000.0,1.942105e-01,22.7449,37.0000,0.764982,0.762023
8.0,100.0,-6.275078e-02,7.2121,19.0000,0.839017,1.000000
8.0,200.0,2.595170e-03,8.9001,22.0000,0.272264,1.000000
8.0,300.0,6.398165e-02,10.4111,24.0000,0.938093,0.999998
8.0,400.0,1.127488e-01,11.6229,26.0000,0.971537,0.999915
8.0,500.0,1.487299e-01,12.8830,27.5000,0.986407,0.999197
8.0,600.0,1.740379e-01,13.9248,29.0000,0.991777,0.996341
8.0,700.0,1.909459e-01,14.9876,30.5000,0.988910,0.989168
8.0,800.0,2.013685e-01,15.9698,31.5000,0.977468,0.975648
8.0,1000.0,2.084701e-01,17.8648,33.5000,0.928473,0.925658
11.0,100.0,-6.901150e-02,6.7068,18.0000,0.885304,1.000000
11.0,200.0,-3.240080e-02,8.0592,20.5000,0.962048,1.000000
11.0,300.0,1.283425e-02,9.1570,22.5000,0.919875,1.000000
11.0,400.0,5.642543e-02,10.2613,24.0000,0.973588,0.999998
11.0,500.0,9.424849e-02,11.1607,25.5000,0.986343,0.999961
11.0,600.0,1.253562e-01,12.0666,26.5000,0.992704,0.999703
11.0,700.0,1.500861e-01,12.9027,28.0000,0.995595,0.998701
11.0,800.0,1.691852e-01,13.6774,29.0000,0.995287,0.996034
11.0,1000.0,1.936436e-01,15.3328,30.5000,0.982475,0.981047
14.0,100.0,-6.852748e-02,6.4385,17.0000,0.931191,1.000000
14.0,200.0,-4.786970e-02,7.4650,19.5000,0.975724,1.000000
14.0,300.0,-1.612150e-02,8.5078,21.0000,1.019749,1.000000
14.0,400.0,1.894934e-02,9.3478,22.5000,0.957450,1.000000
14.0,500.0,5.283827e-02,10.1741,24.0000,0.983960,0.999998
14.0,600.0,8.344904e-02,10.9287,25.0000,0.991535,0.999976
14.0,700.0,1.100471e-01,11.6232,26.0000,0.995297,0.999851
14.0,800.0,1.325749e-01,12.3718,27.0000,0.997167,0.999397
14.0,1000.0,1.664896e-01,13.5345,29.0000,0.995814,0.995624
17.0,100.0,-6.741957e-02,6.1767,16.5000,0.958283,1.000000
17.0,200.0,-5.559501e-02,7.1500,18.5000,0.986012,1.000000
17.0,300.0,-3.329530e-02,7.9705,20.0000,1.005234,1.000000
17.0,400.0,-5.874863e-03,8.7582,21.5000,1.093521,1.000000
17.0,500.0,2.286215e-02,9.4689,22.5000,0.972265,1.000000
17.0,600.0,5.065249e-02,10.1173,24.0000,0.988526,0.999998
17.0,700.0,7.631823e-02,10.7118,25.0000,0.993827,0.999983
17.0,800.0,9.934717e-02,11.3613,25.5000,0.996478,0.999910
17.0,1000.0,1.371472e-01,12.4616,27.5000,0.998287,0.999030
20.0,100.0,-6.642050e-02,5.9831,16.5000,0.973713,1.000000
20.0,200.0,-5.975057e-02,6.8830,18.0000,0.991912,1.000000
20.0,300.0,-4.394061e-02,7.5919,19.5000,1.003544,1.000000
20.0,400.0,-2.262754e-02,8.2809,21.0000,1.019263,1.000000
20.0,500.0,1.227438e-03,8.9020,22.0000,0.576304,1.000000
20.0,600.0,2.557933e-02,9.4663,23.0000,0.980358,1.000000
20.0,700.0,4.915711e-02,10.0772,24.0000,0.991133,0.999998
20.0,800.0,7.124118e-02,10.6526,24.5000,0.995085,0.999986
20.0,1000.0,1.097143e-01,11.6232,26.0000,0.998223,0.999787
25.0,100.0,-6.509624e-02,5.8219,16.0000,0.986799,1.000000
25.0,200.0,-6.303025e-02,6.5537,17.5000,0.996813,1.000000
25.0,300.0,-5.397719e-02,7.1932,18.5000,1.003051,1.000000
25.0,400.0,-3.989917e-02,7.6883,20.0000,1.008652,1.000000
25.0,500.0,-2.264926e-02,8.2809,21.0000,1.018285,1.000000
25.0,600.0,-3.731353e-03,8.8298,21.5000,1.112158,1.000000
25.0,700.0,1.574462e-02,9.2645,22.5000,0.975403,1.000000
25.0,800.0,3.501208e-02,9.7510,23.0000,0.990345,0.999999
25.0,1000.0,7.111502e-02,10.6526,24.5000,0.996846,0.999983
